2025-06-17 14:00:24 | INFO     | vehicle_detection | 🚀 Starting M1 Vehicle Detection Server
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🌟 M1 Pro Vehicle Detection Server
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | ==================================================
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 📍 URL: http://0.0.0.0:1234
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🎯 Vehicle Classes: car, truck, bus, motorcycle, bicycle
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🔧 Configuration: type
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | ==================================================
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🚀 Starting M1 Pro Vehicle Detection Server...
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 📁 Video path: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/resources/1.mp4
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🎯 Target FPS: 30
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🔧 Debug mode: False
2025-06-17 14:00:24 | INFO     | vehicle_detection.app | 🧠 Initializing AI model...
2025-06-17 14:00:24 | INFO     | vehicle_detection.device_optimizer | 🚀 Starting device optimization...
2025-06-17 14:00:24 | INFO     | vehicle_detection.device_optimizer | ✓ MPS optimizations applied
2025-06-17 14:00:24 | INFO     | vehicle_detection.device_optimizer | 📋 Generated 4 test frames
2025-06-17 14:00:24 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8n.pt
2025-06-17 14:00:24 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.373s/frame (1.492s total)
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.015s/frame (0.059s total)
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8n.pt results:
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.373s (2.7 FPS)
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.015s (67.8 FPS)
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on CPU
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on MPS
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8s.pt
2025-06-17 14:00:26 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.100s/frame (0.402s total)
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.025s/frame (0.100s total)
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8s.pt results:
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.100s (10.0 FPS)
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.025s (40.0 FPS)
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8m.pt
2025-06-17 14:00:27 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:00:28 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.195s/frame (0.781s total)
2025-06-17 14:00:28 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.036s/frame (0.144s total)
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8m.pt results:
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.195s (5.1 FPS)
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.036s (27.8 FPS)
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer | 🎯 Final Selection:
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    Model: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/model/yolov8n.pt
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    Device: MPS
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    Performance: 0.015s/frame (67.8 FPS)
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer | 📊 Complete benchmark results:
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    yolov8n.pt: CPU=2.7fps, MPS=67.8fps
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    yolov8s.pt: CPU=10.0fps, MPS=40.0fps
2025-06-17 14:00:29 | INFO     | vehicle_detection.device_optimizer |    yolov8m.pt: CPU=5.1fps, MPS=27.8fps
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | 🔍 Setting up vehicle detector...
2025-06-17 14:00:29 | INFO     | vehicle_detection.detector | 🔧 Detector initialized: MPS
2025-06-17 14:00:29 | INFO     | vehicle_detection.detector | 📋 Vehicle classes: car, truck, bus, motorcycle, bicycle
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | 📡 Starting video broadcaster...
2025-06-17 14:00:29 | INFO     | vehicle_detection.broadcaster | 📹 Video properties: 1280x720, 25.0fps, 7737 frames
2025-06-17 14:00:29 | INFO     | vehicle_detection.broadcaster | 🎥 Broadcaster initialized: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/resources/1.mp4
2025-06-17 14:00:29 | INFO     | vehicle_detection.broadcaster | 📊 Batch size: 2
2025-06-17 14:00:29 | INFO     | vehicle_detection.broadcaster | ▶️  Broadcasting started
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | ✅ Server startup complete!
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | 🌐 Access the server at: http://0.0.0.0:1234
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | 🔗 WebSocket endpoint: ws://0.0.0.0:1234/ws
2025-06-17 14:00:29 | INFO     | vehicle_detection.app | 📊 Health check: http://0.0.0.0:1234/health
2025-06-17 14:00:29 | INFO     | vehicle_detection.broadcaster | 🚀 Starting broadcast loop
2025-06-17 14:00:29 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.210s for 2 frames
2025-06-17 14:00:33 | INFO     | vehicle_detection.broadcaster | 🔌 Client connected (total: 1)
2025-06-17 14:00:33 | INFO     | vehicle_detection.app | 🔌 WebSocket connected from 127.0.0.1
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Frames processed: 82
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 8
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 8.4
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.3
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.119s
2025-06-17 14:00:34 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 24.5
2025-06-17 14:00:38 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.234s for 2 frames
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Frames processed: 168
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 12
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 8.8
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.5
